,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2022-08-05,Crystal Palace,Arsenal,VicenteGuaita,NathanielClyne,MarcGuéhi,TyrickMitchell,JoachimAndersen,CheickDoucouré,JordanAyew,WilfriedZaha,JeffreySchlupp,EberechiEze,OdsonneÉdouard,AaronRamsdale,BenWhite,WilliamSaliba,OleksandrZinchenko,GabrielMagalhães,ThomasPartey,MartinØdegaard,GranitXhaka,GabrielJesus,BukayoSaka,GabrielMartinelli
1,2022-08-06,Bournemouth,Aston Villa,MarkTravers,ChrisMepham,LloydKelly,JeffersonLerma,BenPearson,PhilipBilling,JordanZemura,AdamSmith,MarcusTavernier,DominicSolanke,KiefferMoore,EmilianoMartínez,DiegoCarlos,MattyCash,EzriKonsa,LucasDigne,JacobRamsey,BoubacarKamara,JohnMcGinn,PhilippeCoutinho,DannyIngs,LeonBailey
2,2022-08-06,Everton,Chelsea,JordanPickford,JamesTarkowski,YerryMina,NathanPatterson,BenGodfrey,VitaliiMykolenko,DwightMcNeil,DemaraiGray,AbdoulayeDoucouré,AlexIwobi,AnthonyGordon,ÉdouardMendy,KalidouKoulibaly,ThiagoSilva,CésarAzpilicueta,N'GoloKanté,ReeceJames,Jorginho,BenChilwell,MasonMount,KaiHavertz,RaheemSterling
3,2022-08-06,Fulham,Liverpool,MarekRodák,AntoneeRobinson,TosinAdarabioyo,TimReam,KennyTete,JoãoPalhinha,NeeskensKebano,BobbyDeCordova-Reid,HarrisonReed,AndreasPereira,AleksandarMitrovic,Alisson,JoëlMatip,AndrewRobertson,TrentAlexander-Arnold,VirgilvanDijk,Fabinho,Thiago,JordanHenderson,RobertoFirmino,MohamedSalah,LuisDíaz
4,2022-08-06,Leeds United,Wolverhampton Wanderers,IllanMeslier,DiegoLlorente,RasmusKristensen,RobinKoch,PascalStruijk,MarcRoca,BrendenAaronson,JackHarrison,TylerAdams,Rodrigo,PatrickBamford,JoséSá,RayanAït-Nouri,NathanCollins,Jonny,MaximilianKilman,MorganGibbs-White,PedroNeto,DanielPodence,RúbenNeves,LeanderDendoncker,HwangHee-Chan
5,2022-08-07,Leicester City,Brentford,DannyWard,WesleyFofana,JonnyEvans,DanielAmartey,TimothyCastagne,WilfredNdidi,KiernanDewsbury-Hall,YouriTielemans,JamesJustin,JamesMaddison,JamieVardy,DavidRaya,RicoHenry,AaronHickey,BenMee,PontusJansson,VitalyJanelt,ChristianNørgaard,MathiasJensen,YoaneWissa,IvanToney,BryanMbeumo
6,2022-08-06,Newcastle United,Nottingham Forest,NickPope,FabianSchär,DanBurn,MattTargett,KieranTrippier,Joelinton,BrunoGuimarães,JoeWillock,CallumWilson,AllanSaint-Maximin,MiguelAlmirón,DeanHenderson,ScottMcKenna,MoussaNiakhaté,JoeWorrall,JackColback,HarryToffolo,NecoWilliams,LewisO'Brien,BrennanJohnson,JesseLingard,SamSurridge
7,2022-08-06,Tottenham Hotspur,Southampton,HugoLloris,CristianRomero,BenDavies,EricDier,EmersonRoyal,RyanSessegnon,RodrigoBentancur,Pierre-EmileHøjbjerg,HarryKane,SonHeung-Min,DejanKulusevski,GavinBazunu,MohammedSalisu,JanBednarek,YanValery,MoussaDjenepo,KyleWalker-Peters,RoméoLavia,JamesWard-Prowse,OriolRomeu,AdamArmstrong,JoeAribo
8,2022-08-07,Manchester United,Brighton & Hove Albion,DaviddeGea,LukeShaw,DiogoDalot,LisandroMartínez,HarryMaguire,ScottMcTominay,Fred,BrunoFernandes,ChristianEriksen,JadonSancho,MarcusRashford,RobertSánchez,AdamWebster,LewisDunk,JoëlVeltman,MoisésCaicedo,AdamLallana,AlexisMacAllister,PascalGroß,LeandroTrossard,SollyMarch,DannyWelbeck
9,2022-08-07,West Ham United,Manchester City,LukaszFabianski,AaronCresswell,KurtZouma,BenJohnson,VladimírCoufal,PabloFornals,DeclanRice,TomásSoucek,ManuelLanzini,JarrodBowen,MichailAntonio,Ederson,RúbenDias,KyleWalker,NathanAké,JoãoCancelo,Rodri,IlkayGündogan,KevinDeBruyne,JackGrealish,PhilFoden,ErlingHaaland
10,2022-08-13,Arsenal,Leicester City,AaronRamsdale,BenWhite,GabrielMagalhães,WilliamSaliba,OleksandrZinchenko,ThomasPartey,MartinØdegaard,GranitXhaka,BukayoSaka,GabrielJesus,GabrielMartinelli,DannyWard,JonnyEvans,WesleyFofana,DanielAmartey,YouriTielemans,KiernanDewsbury-Hall,TimothyCastagne,WilfredNdidi,JamesJustin,JamieVardy,JamesMaddison
11,2022-08-13,Aston Villa,Everton,EmilianoMartínez,TyroneMings,LucasDigne,DiegoCarlos,MattyCash,JacobRamsey,BoubacarKamara,PhilippeCoutinho,JohnMcGinn,DannyIngs,OllieWatkins,JordanPickford,MasonHolgate,JamesTarkowski,ConorCoady,VitaliiMykolenko,AlexIwobi,NathanPatterson,AbdoulayeDoucouré,DemaraiGray,DwightMcNeil,AnthonyGordon
12,2022-08-13,Brentford,Manchester United,DavidRaya,RicoHenry,BenMee,PontusJansson,AaronHickey,MadsRoerslev,MathiasJensen,ChristianNørgaard,JoshDasilva,BryanMbeumo,IvanToney,DaviddeGea,HarryMaguire,DiogoDalot,LisandroMartínez,LukeShaw,ChristianEriksen,Fred,MarcusRashford,BrunoFernandes,JadonSancho,CristianoRonaldo
